_m,n_all,imp,wor,n_dir,disag_A,disag_B
1942-07,3,2,1,3,0.6666666666666667,0.6666666666666667
1942-08,4,2,2,4,1.0,1.0
1942-09,1,0,0,0,0.0,
1942-10,6,1,2,3,0.33333333333333326,0.6666666666666666
1942-11,1,0,0,0,0.0,
1942-12,2,1,1,2,1.0,1.0
1943-01,30,9,10,19,0.6,0.9473684210526315
1943-02,10,4,2,6,0.8,0.6666666666666667
1943-03,6,3,1,4,1.0,0.5
1943-04,2,0,2,2,0.0,0.0
1943-05,1,0,0,0,0.0,
1943-06,2,0,2,2,0.0,0.0
1943-07,2,2,0,2,0.0,0.0
1943-08,2,2,0,2,0.0,0.0
1943-09,6,2,1,3,0.6666666666666666,0.6666666666666667
1943-11,5,1,2,3,0.4,0.6666666666666666
1943-12,32,9,5,14,0.5625,0.7142857142857142
1944-01,10,4,5,9,0.8,0.8888888888888888
1944-02,4,3,1,4,0.5,0.5
1944-03,8,4,2,6,1.0,0.6666666666666667
1944-04,6,1,2,3,0.33333333333333326,0.6666666666666666
1944-05,5,0,3,3,0.0,0.0
1944-06,16,4,4,8,0.5,1.0
1944-07,4,1,0,1,0.5,0.0
1944-08,5,2,3,5,0.8,0.8
1944-09,1,1,0,1,0.0,0.0
1944-10,7,7,0,7,0.0,0.0
1944-11,13,5,4,9,0.7692307692307693,0.8888888888888888
1944-12,31,6,7,13,0.3870967741935484,0.9230769230769231
1945-01,19,3,11,14,0.3157894736842105,0.4285714285714286
1945-02,1,0,0,0,0.0,
1945-03,7,3,0,3,0.8571428571428571,0.0
1945-04,7,4,3,7,0.8571428571428572,0.8571428571428572
1945-05,5,2,3,5,0.8,0.8
1945-06,6,2,2,4,0.6666666666666666,1.0
1945-07,8,4,4,8,1.0,1.0
1945-08,16,6,6,12,0.75,1.0
1945-09,6,2,2,4,0.6666666666666666,1.0
1945-10,21,10,1,11,0.9523809523809523,0.18181818181818188
1945-11,13,8,0,8,0.7692307692307692,0.0
1945-12,41,17,9,26,0.8292682926829268,0.6923076923076923
1946-01,29,14,7,21,0.9655172413793104,0.6666666666666667
1946-02,11,7,2,9,0.7272727272727273,0.4444444444444444
1946-03,17,9,4,13,0.9411764705882353,0.6153846153846154
1946-04,11,8,1,9,0.5454545454545454,0.22222222222222232
1946-05,14,9,3,12,0.7142857142857142,0.5
1946-06,18,7,3,10,0.7777777777777778,0.6000000000000001
1946-07,1,1,0,1,0.0,0.0
1946-08,17,9,6,15,0.9411764705882353,0.8
1946-09,13,5,2,7,0.7692307692307693,0.5714285714285714
1946-10,9,3,5,8,0.6666666666666666,0.75
1946-11,9,5,3,8,0.8888888888888888,0.75
1946-12,20,13,1,14,0.7,0.1428571428571428
1947-01,23,12,5,17,0.9565217391304348,0.588235294117647
1947-02,7,3,1,4,0.8571428571428571,0.5
1947-03,12,8,1,9,0.6666666666666667,0.22222222222222232
1947-04,7,3,3,6,0.8571428571428571,1.0
1947-05,8,4,1,5,1.0,0.3999999999999999
1947-06,9,5,1,6,0.8888888888888888,0.33333333333333326
1947-07,7,2,4,6,0.5714285714285714,0.6666666666666666
1947-08,14,8,4,12,0.8571428571428572,0.6666666666666667
1947-09,5,0,2,2,0.0,0.0
1947-10,4,2,2,4,1.0,1.0
1947-11,6,3,2,5,1.0,0.8
1947-12,19,5,5,10,0.5263157894736842,1.0
1948-01,63,21,13,34,0.6666666666666666,0.7647058823529411
1948-02,5,2,2,4,0.8,1.0
1948-03,12,4,2,6,0.6666666666666666,0.6666666666666667
1948-04,10,5,4,9,1.0,0.8888888888888888
1948-05,4,3,1,4,0.5,0.5
1948-06,5,0,2,2,0.0,0.0
1948-07,6,1,2,3,0.33333333333333326,0.6666666666666666
