forecast_date,forecast_growth,source_file,pred_direction,realized_direction,hit,source,forecaster_id,variable_native,variable_canonical,horizon_native
1980-04-16,-2.925,gRGDP_1967_1984.xlsx,worsen,no_change,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1980-05-14,-2.375,gRGDP_1967_1984.xlsx,worsen,improve,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1980-07-02,1.4,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1980-08-06,1.5,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1980-09-10,1.3,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1980-10-15,0.5,gRGDP_1967_1984.xlsx,no_change,no_change,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1980-11-12,0.29999999999999993,gRGDP_1967_1984.xlsx,no_change,no_change,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1980-12-12,-0.7749999999999999,gRGDP_1967_1984.xlsx,no_change,worsen,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1981-01-28,-0.050000000000000044,gRGDP_1967_1984.xlsx,no_change,worsen,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1981-03-25,0.4,gRGDP_1967_1984.xlsx,no_change,worsen,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1981-05-13,0.6,gRGDP_1967_1984.xlsx,no_change,worsen,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1981-07-01,0.925,gRGDP_1967_1984.xlsx,no_change,worsen,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1981-08-12,0.9500000000000001,gRGDP_1967_1984.xlsx,no_change,worsen,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1981-09-30,0.39999999999999997,gRGDP_1967_1984.xlsx,no_change,worsen,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1981-11-10,1.4,gRGDP_1967_1984.xlsx,improve,worsen,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1981-12-16,1.7249999999999999,gRGDP_1967_1984.xlsx,improve,worsen,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1982-01-27,2.725,gRGDP_1967_1984.xlsx,improve,no_change,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1982-03-24,3.25,gRGDP_1967_1984.xlsx,improve,worsen,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1982-05-12,2.95,gRGDP_1967_1984.xlsx,improve,no_change,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1982-06-23,2.325,gRGDP_1967_1984.xlsx,improve,no_change,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1982-08-18,2.7249999999999996,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
