month,n_claims,n_directional,net_direction,share_worsen,share_improve,disagreement,hedge_rate,mean_horizon,share_named,share_expert,share_official,share_journalist,n_all_claims,n_pages,attention
1916-11,18.0,18.0,0.0,0.5,0.5,1.0,0.2222222222222222,12.0,0.16666666666666666,0.2777777777777778,0.0,0.6111111111111112,38,25,152.0
1916-12,28.0,28.0,0.5,0.25,0.75,0.5,0.32142857142857145,9.333333333333334,0.5357142857142857,0.39285714285714285,0.21428571428571427,0.35714285714285715,58,26,223.07692307692307
1917-01,35.0,35.0,0.2,0.4,0.6,0.8,0.2857142857142857,12.0,0.42857142857142855,0.45714285714285713,0.05714285714285714,0.4857142857142857,82,29,282.7586206896552
1917-02,22.0,22.0,0.2727272727272727,0.36363636363636365,0.6363636363636364,0.7272727272727273,0.45454545454545453,,0.22727272727272727,0.22727272727272727,0.09090909090909091,0.6363636363636364,34,27,125.92592592592592
1917-03,28.0,26.0,0.15384615384615385,0.4230769230769231,0.5769230769230769,0.8461538461538461,0.39285714285714285,10.0,0.32142857142857145,0.32142857142857145,0.25,0.42857142857142855,51,29,175.86206896551724
1917-04,18.0,17.0,0.5294117647058824,0.23529411764705882,0.7647058823529411,0.47058823529411764,0.05555555555555555,9.0,0.3333333333333333,0.3333333333333333,0.05555555555555555,0.5555555555555556,37,27,137.03703703703704
1917-05,35.0,35.0,0.7714285714285715,0.11428571428571428,0.8857142857142857,0.22857142857142854,0.2,10.0,0.6,0.45714285714285713,0.2,0.34285714285714286,56,27,207.40740740740742
1917-06,35.0,34.0,-0.35294117647058826,0.6764705882352942,0.3235294117647059,0.6470588235294117,0.2571428571428571,6.0,0.2,0.17142857142857143,0.02857142857142857,0.8,62,28,221.42857142857142
1917-07,22.0,20.0,0.8,0.1,0.9,0.19999999999999996,0.3181818181818182,9.0,0.45454545454545453,0.5454545454545454,0.0,0.45454545454545453,66,30,220.0
1917-08,19.0,18.0,0.6666666666666666,0.16666666666666666,0.8333333333333334,0.33333333333333337,0.3157894736842105,8.0,0.47368421052631576,0.3157894736842105,0.15789473684210525,0.5263157894736842,46,28,164.28571428571428
